repository_name,file_path,docstring,function
fluxml/torch.jl,repos/tmp-6198358016-369279/deps/julia_wrapper_generator/prologue.jl,,"function get_error()
  err = cglobal((:myerr, libdoeye_caml), Cstring) |> unsafe_load
  unsafe_string(err)
end"
fluxml/torch.jl,repos/tmp-6198358016-369279/deps/julia_wrapper_generator/generator.jl,,"function
        rewrite!(e, Val(e.head))
    end"
fluxml/torch.jl,repos/tmp-6198358016-369279/deps/julia_wrapper_generator/generator.jl,,"function rewrite!(e::Expr, ::Val{:function})
    rewrite!(e.args[2], Val(e.args[2].head))
end"
fluxml/torch.jl,repos/tmp-6198358016-369279/deps/julia_wrapper_generator/generator.jl,,"function rewrite!(e::Expr, ::Val{:block})
    e.args[1] = Expr(:macrocall, Symbol(""@runtime_error_check""), nothing, e.args[1])
end"
fluxml/torch.jl,repos/tmp-6198358016-369279/deps/julia_wrapper_generator/generator.jl,,"function rewrite!(dag::ExprDAG)
    for node in get_nodes(dag)
        for expr in get_exprs(node)
            rewrite!(expr)
        end
    end
end"
fluxml/torch.jl,repos/tmp-6198358016-369279/src/Torch.jl,,"function (tbn::Flux.BatchNorm)(x::Tensor)
    tbn.λ.(Torch.batchnorm(x, tbn.γ,  tbn.β,  tbn.μ, tbn.σ², 0, tbn.momentum, tbn.ϵ, 1))
  end"
fluxml/torch.jl,repos/tmp-6198358016-369279/src/Torch.jl,,"function Flux.Zygote.accum(t1::Tensor, t2::Tensor{T,N}) where {T,N}
    ptr = Ref(Ptr{Cvoid}())

    Torch.atg_add_(ptr, t1.ptr, t2.ptr)
    Tensor{T,N}(ptr[], Torch.on(t1))
  end"
fluxml/torch.jl,repos/tmp-6198358016-369279/src/broadcast.jl,,"function broadcasted(::typeof($op), t1::Tensor, t2::Tensor)
    $op(t1, t2)
  end"
fluxml/torch.jl,repos/tmp-6198358016-369279/src/broadcast.jl,,"function broadcasted(::typeof($op), t1::Tensor, t2::TensorVector)
    t_ = reshape(t2, -1, 1)
    $op(t1, t_)
  end"
fluxml/torch.jl,repos/tmp-6198358016-369279/src/broadcast.jl,,"function broadcasted(::typeof(*), t1::Tensor{T,N}, t2::Tensor{T,M}) where {T,N,M}
  ptr = Ref(Ptr{Cvoid}())

  atg_mul(ptr, t1.ptr, t2.ptr)
  Tensor{T,max(N,M)}(ptr[], on(t1))
end"
fluxml/torch.jl,repos/tmp-6198358016-369279/src/broadcast.jl,,"function broadcasted(::typeof($op), t::Tensor, args...)
    $op(t, args...)
  end"
